complex i-RMSD case cutoff stage difficulty
1n2c 0 SS T50 All-Atom Intermediate
1n2c 1 SS T100 All-Atom Intermediate
1n2c 1 SS T200 All-Atom Intermediate
3l89 1 SS T1 All-Atom Hard
3l89 1 SS T5 All-Atom Hard
3l89 1 SS T10 All-Atom Hard
3l89 1 SS T20 All-Atom Hard
3l89 1 SS T50 All-Atom Hard
3l89 1 SS T100 All-Atom Hard
3l89 1 SS T200 All-Atom Hard
1de4 0 SS T1 All-Atom Hard
1de4 0 SS T5 All-Atom Hard
1de4 0 SS T10 All-Atom Hard
1de4 0 SS T20 All-Atom Hard
1de4 0 SS T50 All-Atom Hard
1de4 1 SS T100 All-Atom Hard
1de4 1 SS T200 All-Atom Hard
1y64 0 SS T1 All-Atom Hard
1y64 0 SS T5 All-Atom Hard
1y64 0 SS T10 All-Atom Hard
1y64 0 SS T20 All-Atom Hard
1y64 0 SS T50 All-Atom Hard
1y64 0 SS T100 All-Atom Hard
1y64 0 SS T200 All-Atom Hard
4gam 0 SS T1 All-Atom Hard
4gam 0 SS T5 All-Atom Hard
4gam 0 SS T10 All-Atom Hard
4gam 0 SS T20 All-Atom Hard
4gam 0 SS T50 All-Atom Hard
4gam 0 SS T100 All-Atom Hard
4gam 0 SS T200 All-Atom Hard
1h1v 1 SS T1 All-Atom Hard
1h1v 1 SS T5 All-Atom Hard
1h1v 1 SS T10 All-Atom Hard
1h1v 1 SS T20 All-Atom Hard
1h1v 1 SS T50 All-Atom Hard
1h1v 1 SS T100 All-Atom Hard
1h1v 1 SS T200 All-Atom Hard
